analysis_facility_id,stable_site_id,asset_episode_id,lag_asset_episode_id,asset_episode_changed,facility_code,fiscal_year,prefecture,facility_name,lag_fiscal_year,lag_gap_years,exact_one_year_lag,year_started,lag_year_started,facility_age_years,lag_facility_age_years,capacity_t_day,lag_capacity_t_day,name_changed,year_started_forward,year_reset,age_reset,pathway_category,pathway_basis
site_69a0cc514b58,site_69a0cc514b58,site_69a0cc514b58-a01,site_69a0cc514b58-a01,False,1110001006,2014,埼玉県,さいたま市桜環境センター,2013,1,True,2015,2015,,,380,380,False,True,False,False,Forward-dated / placeholder entry,Forward-dated `year_started` or placeholder/new-build naming at event row
site_69ba0a6aa21b,site_69ba0a6aa21b,site_69ba0a6aa21b-a01,site_69ba0a6aa21b-a01,False,1210220,2022,千葉県,我孫子市クリーンセンター,2021,1,True,2023,2023,,,120,120,False,True,False,False,Forward-dated / placeholder entry,Forward-dated `year_started` or placeholder/new-build naming at event row
site_6a05a758c979,site_6a05a758c979,site_6a05a758c979-a01,site_6a05a758c979-a01,False,2783801001,2015,大阪府,泉南清掃事務組合泉南清掃工場,2014,1,True,1986,1986,29,28,190,190,False,False,False,False,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year
site_751344d7173b,site_751344d7173b,site_751344d7173b-a01,site_751344d7173b-a01,False,1123901001,2016,埼玉県,坂戸市西清掃センター,2015,1,True,1994,1994,22,21,80,80,False,False,False,False,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year
site_7c5860a0ae3c,site_7c5860a0ae3c,site_7c5860a0ae3c-a01,site_7c5860a0ae3c-a01,False,2310001008,2006,愛知県,名古屋市鳴海工場,2005,1,True,2009,2009,,,530,530,False,True,False,False,Forward-dated / placeholder entry,Forward-dated `year_started` or placeholder/new-build naming at event row
site_8553effc770d,site_8553effc770d,site_8553effc770d-a01,site_8553effc770d-a01,False,2985201001,2017,奈良県,やまと広域環境衛生事務組合新ごみ処理施設,2016,1,True,2017,2017,0,,120,120,False,False,False,False,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year
site_8734c1302c1a,site_8734c1302c1a,site_8734c1302c1a-a01,site_8734c1302c1a-a01,False,0810213,2021,茨城県,霞台厚生施設組合クリーンセンター,2020,1,True,2021,2021,0,,215,215,True,False,False,False,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year
site_93e54880f6ce,site_93e54880f6ce,site_93e54880f6ce-a01,site_93e54880f6ce-a01,False,2910152,2024,奈良県,美濃園,2023,1,True,2024,2024,0,,120,120,False,False,False,False,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year
site_96bbb0cc10e6,site_96bbb0cc10e6,site_96bbb0cc10e6-a02,site_96bbb0cc10e6-a01,True,2510136,2021,滋賀県,守山市環境センター熱回収施設,2020,1,True,2021,1985,0,35,71,90,True,False,True,True,Rebuild/replacement-like entry,"Asset episode, reported start year, or mature-to-new age resets before entry"
site_aba00557c392,site_aba00557c392,site_aba00557c392-a01,site_aba00557c392-a01,False,1110020,2022,埼玉県,狭山市稲荷山環境センター(旧名称：　狭山市第二環境センター),2021,1,True,1996,1996,26,25,165,165,False,False,False,False,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year
site_abbafb27b3a8,site_abbafb27b3a8,site_abbafb27b3a8-a01,site_abbafb27b3a8-a01,False,2084801002,2018,長野県,（仮称）長野広域連合Ｂ焼却施設,2017,1,True,2021,2021,,,100,100,True,True,False,False,Forward-dated / placeholder entry,Forward-dated `year_started` or placeholder/new-build naming at event row
site_b1ea51d2a9de,site_b1ea51d2a9de,site_b1ea51d2a9de-a01,site_b1ea51d2a9de-a01,False,0210120,2023,青森県,クリーンセンターしもきた,2022,1,True,2024,2024,,,86,86,False,True,False,False,Forward-dated / placeholder entry,Forward-dated `year_started` or placeholder/new-build naming at event row
site_b2a293b3f8a7,site_b2a293b3f8a7,site_b2a293b3f8a7-a01,site_b2a293b3f8a7-a01,False,0720401002,2017,福島県,北部清掃センター,2016,1,True,1981,1981,36,35,300,300,False,False,False,False,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year
site_b2eeb89b753e,site_b2eeb89b753e,site_b2eeb89b753e-a01,site_b2eeb89b753e-a01,False,1481801003,2018,神奈川県,高座クリーンセンターじん芥処理施設,2017,1,True,2019,2019,,,122.5,122.5,True,True,False,False,Forward-dated / placeholder entry,Forward-dated `year_started` or placeholder/new-build naming at event row
site_b34db3639319,site_b34db3639319,site_b34db3639319-a01,site_b34db3639319-a01,False,3395901001,2016,岡山県,津山圏域クリーンセンター,2015,1,True,2015,2016,1,,128,128,False,False,False,False,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year
site_b46782955f68,site_b46782955f68,site_b46782955f68-a01,site_b46782955f68-a01,False,4621901002,2006,鹿児島県,市来一般廃棄物利用エネルギーセンター,2005,1,True,2004,2004,2,1,24,24,False,False,False,False,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year
site_b4a84489dafa,site_b4a84489dafa,site_b4a84489dafa-a01,site_b4a84489dafa-a01,False,2383801001,2016,愛知県,衣浦衛生組合クリーンセンター衣浦,2015,1,True,1995,1995,21,20,190,190,False,False,False,False,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year
site_bd04b46dc65a,site_bd04b46dc65a,site_bd04b46dc65a-a01,site_bd04b46dc65a-a01,False,0387301001,2019,岩手県,胆江地区衛生センター,2018,1,True,1994,1994,25,24,240,240,False,False,False,False,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year
site_bd4eaae2b97e,site_bd4eaae2b97e,site_bd4eaae2b97e-a01,site_bd4eaae2b97e-a01,False,1810072,2021,福井県,第１清掃センター,2020,1,True,2021,2021,0,,84,84,True,False,False,False,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year
site_ca85c1843bce,site_ca85c1843bce,site_ca85c1843bce-a01,site_ca85c1843bce-a01,False,1690001001,2014,富山県,高岡広域エコ・クリーンセンター,2013,1,True,2014,2014,0,,255,255,False,False,False,False,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year
site_cc9555b7aab4,site_cc9555b7aab4,site_cc9555b7aab4-a01,site_cc9555b7aab4-a01,False,1186301001,2014,埼玉県,秩父広域市町村圏組合秩父クリーンセンター,2013,1,True,1997,1997,17,16,150,150,False,False,False,False,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year
site_ce18fa6b9e97,site_ce18fa6b9e97,site_ce18fa6b9e97-a01,site_ce18fa6b9e97-a01,False,0910012,2021,栃木県,広域クリーンセンター大田原,2020,1,True,2002,2002,19,18,120,120,False,False,False,False,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year
site_d1337e7f5c70,site_d1337e7f5c70,site_d1337e7f5c70-a01,site_d1337e7f5c70-a01,False,4095501001,2016,福岡県,福岡都市圏南部工場,2015,1,True,2016,2016,0,,510,510,False,False,False,False,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year
site_d23b768d16db,site_d23b768d16db,site_d23b768d16db-a04,site_d23b768d16db-a03,True,2383701001,2019,愛知県,東部知多クリーンセンター,2018,1,True,2018,1988,1,30,200,240,False,False,True,True,Rebuild/replacement-like entry,"Asset episode, reported start year, or mature-to-new age resets before entry"
site_d3bda35fe022,site_d3bda35fe022,site_d3bda35fe022-a01,site_d3bda35fe022-a01,False,2310022,2024,愛知県,蒲郡市クリーンセンター,2023,1,True,1997,1997,27,26,130,130,False,False,False,False,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year
site_e0278c6bb85e,site_e0278c6bb85e,site_e0278c6bb85e-a01,site_e0278c6bb85e-a01,False,4399101001,2016,熊本県,東部環境センター,2015,1,True,1999,1999,17,16,98,70,False,False,False,False,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year
site_e22135c6e858,site_e22135c6e858,site_e22135c6e858-a02,site_e22135c6e858-a01,True,,2010,栃木県,日光市クリーンセンター,2009,1,True,2010,1990,0,19,135,40,True,False,True,True,Rebuild/replacement-like entry,"Asset episode, reported start year, or mature-to-new age resets before entry"
site_e25e6a6fd862,site_e25e6a6fd862,site_e25e6a6fd862-a01,site_e25e6a6fd862-a01,False,2782801005,2008,大阪府,泉北クリーンセンター２号炉,2007,1,True,2004,2004,4,3,150,150,False,False,False,False,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year
site_e5d15c47cf90,site_e5d15c47cf90,site_e5d15c47cf90-a01,site_e5d15c47cf90-a01,False,0985201003,2016,栃木県,小山広域保健衛生組合中央清掃センター70t焼却炉,2015,1,True,2016,2016,0,,70,70,True,False,False,False,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year
site_ebcd098807af,site_ebcd098807af,site_ebcd098807af-a01,site_ebcd098807af-a01,False,0785301002,2009,福島県,田村西部環境センター,2008,1,True,2006,2006,3,2,40,40,False,False,False,False,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year
site_f03c5cb634c1,site_f03c5cb634c1,site_f03c5cb634c1-a01,site_f03c5cb634c1-a01,False,,2012,愛知県,豊川市清掃工場（１、３号炉）,2011,1,True,1991,1991,21,20,134,134,False,False,False,False,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year
site_f7ab4d87540a,site_f7ab4d87540a,site_f7ab4d87540a-a02,site_f7ab4d87540a-a02,False,2920301001,2017,奈良県,大和郡山市クリーンセンター・清掃センター,2016,1,True,1980,1980,37,36,180,180,False,False,False,False,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year
site_f8e6313e052e,site_f8e6313e052e,site_f8e6313e052e-a01,site_f8e6313e052e-a01,False,2720701003,2016,大阪府,高槻クリーンセンター新工場,2015,1,True,2019,2019,,,150,150,False,True,False,False,Forward-dated / placeholder entry,Forward-dated `year_started` or placeholder/new-build naming at event row
site_f91c01e2d37f,site_f91c01e2d37f,site_f91c01e2d37f-a01,site_f91c01e2d37f-a01,False,2120101001,2015,岐阜県,掛洞プラント,2014,1,True,1979,1979,36,35,150,150,False,False,False,False,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year
