specification,evidence,outcome,term,coefficient,standard_error,ci_low,ci_high,p_value,observations,stable_sites,r_squared
Lineage-equal weights,between-and-within pooled component model,log_generator_design_intensity,cohort_1990-1999,-0.967547656,0.0804358294,-1.12519898,-0.809896327,2.50735687e-33,6511,493,0.561819769
Lineage-equal weights,between-and-within pooled component model,log_generator_design_intensity,cohort_2000-2009,-0.329404762,0.0500633214,-0.427527068,-0.231282455,4.71200509e-11,6511,493,0.561819769
Lineage-equal weights,between-and-within pooled component model,log_generator_design_intensity,log_capacity_t_day,0.518119964,0.0553570012,0.409622236,0.626617693,8.00312443e-21,6511,493,0.561819769
Lineage-equal weights,between-and-within pooled component model,log_electrical_capacity_factor,cohort_Before 1990,0.397590276,0.0463733546,0.306700171,0.488480381,1.00230192e-17,6511,493,0.459490547
Lineage-equal weights,between-and-within pooled component model,log_electrical_capacity_factor,cohort_1990-1999,0.234153681,0.037055385,0.161526461,0.306780901,2.63228967e-10,6511,493,0.459490547
Lineage-equal weights,between-and-within pooled component model,log_electrical_capacity_factor,cohort_2000-2009,0.0555519543,0.0325299347,-0.0082055461,0.119309455,0.0876886846,6511,493,0.459490547
Lineage-equal weights,between-and-within pooled component model,log_electrical_capacity_factor,log_capacity_t_day,-0.0640005594,0.0291309556,-0.121096183,-0.00690493561,0.028020814,6511,493,0.459490547
Lineage-equal weights,between-and-within pooled component model,log_electrical_capacity_factor,capacity_utilization_raw,2.1505789,0.140415648,1.87536929,2.42578852,5.99634027e-53,6511,493,0.459490547
Lineage-equal weights,between-and-within pooled component model,log_gross_generation_mwh,log_throughput_t_year,0.734058996,0.0457261048,0.644437478,0.823680515,5.41251696e-58,6511,493,0.915554581
Lineage-equal weights,between-and-within pooled component model,log_gross_generation_mwh,log_power_capacity_kw,0.558313427,0.0381386665,0.483563015,0.63306384,1.58289666e-48,6511,493,0.915554581
Identity-certain lineages,between-and-within pooled component model,log_generator_design_intensity,cohort_Before 1990,-1.57229405,0.0858372744,-1.74053202,-1.40405609,6.03961361e-75,6450,487,0.547519763
Identity-certain lineages,between-and-within pooled component model,log_generator_design_intensity,cohort_1990-1999,-0.884061732,0.0645111649,-1.01050129,-0.757622173,9.60669714e-43,6450,487,0.547519763
Identity-certain lineages,between-and-within pooled component model,log_generator_design_intensity,cohort_2000-2009,-0.26950545,0.0434001857,-0.354568251,-0.184442649,5.30600402e-10,6450,487,0.547519763
Identity-certain lineages,between-and-within pooled component model,log_generator_design_intensity,log_capacity_t_day,0.533169211,0.0437631332,0.447395046,0.618943376,3.82614906e-34,6450,487,0.547519763
Identity-certain lineages,between-and-within pooled component model,log_electrical_capacity_factor,cohort_Before 1990,0.305648938,0.0424441613,0.22245991,0.388837965,5.96844776e-13,6450,487,0.334226412
Identity-certain lineages,between-and-within pooled component model,log_electrical_capacity_factor,cohort_1990-1999,0.198740857,0.0330317569,0.133999803,0.263481911,1.78052294e-09,6450,487,0.334226412
Identity-certain lineages,between-and-within pooled component model,log_electrical_capacity_factor,cohort_2000-2009,0.016376895,0.0291058868,-0.0406695947,0.0734233848,0.57366229,6450,487,0.334226412
Identity-certain lineages,between-and-within pooled component model,log_electrical_capacity_factor,log_capacity_t_day,-0.116563608,0.0236734835,-0.162962783,-0.0701644327,8.48775782e-07,6450,487,0.334226412
Identity-certain lineages,between-and-within pooled component model,log_electrical_capacity_factor,capacity_utilization_raw,1.68026567,0.127129743,1.43109595,1.92943539,7.00602322e-40,6450,487,0.334226412
Identity-certain lineages,between-and-within pooled component model,log_gross_generation_mwh,log_throughput_t_year,0.631800706,0.0524855698,0.52893088,0.734670533,2.25397154e-33,6450,487,0.913325917
Identity-certain lineages,between-and-within pooled component model,log_gross_generation_mwh,log_power_capacity_kw,0.579237605,0.0379634024,0.504830704,0.653644507,1.46114655e-52,6450,487,0.913325917
Conservative engineering bounds,between-and-within pooled component model,log_generator_design_intensity,cohort_Before 1990,-1.54860876,0.0812428944,-1.70784191,-1.38937562,5.27740213e-81,6432,490,0.55575766
Conservative engineering bounds,between-and-within pooled component model,log_generator_design_intensity,cohort_1990-1999,-0.870664931,0.0608008556,-0.989832418,-0.751497444,1.64252244e-46,6432,490,0.55575766
Conservative engineering bounds,between-and-within pooled component model,log_generator_design_intensity,cohort_2000-2009,-0.271827287,0.0419293053,-0.354007216,-0.189647359,8.99221697e-11,6432,490,0.55575766
Conservative engineering bounds,between-and-within pooled component model,log_generator_design_intensity,log_capacity_t_day,0.520430663,0.041436615,0.43921639,0.601644936,3.51748402e-36,6432,490,0.55575766
Conservative engineering bounds,between-and-within pooled component model,log_electrical_capacity_factor,cohort_Before 1990,0.282159606,0.0395003625,0.204740318,0.359578894,9.11724436e-13,6432,490,0.33636827
Conservative engineering bounds,between-and-within pooled component model,log_electrical_capacity_factor,cohort_1990-1999,0.182812218,0.0311822721,0.121696088,0.243928349,4.55408358e-09,6432,490,0.33636827
Conservative engineering bounds,between-and-within pooled component model,log_electrical_capacity_factor,cohort_2000-2009,0.000336866112,0.0275449918,-0.0536503257,0.054324058,0.99024238,6432,490,0.33636827
Conservative engineering bounds,between-and-within pooled component model,log_electrical_capacity_factor,log_capacity_t_day,-0.127118539,0.0223686789,-0.170960345,-0.0832767344,1.32444464e-08,6432,490,0.33636827
Conservative engineering bounds,between-and-within pooled component model,log_electrical_capacity_factor,capacity_utilization_raw,1.55473681,0.0982676247,1.36213581,1.74733782,2.21318065e-56,6432,490,0.33636827
Conservative engineering bounds,between-and-within pooled component model,log_gross_generation_mwh,log_throughput_t_year,0.619518332,0.0384797293,0.544099449,0.694937216,2.55674062e-58,6432,490,0.922588163
Conservative engineering bounds,between-and-within pooled component model,log_gross_generation_mwh,log_power_capacity_kw,0.566609094,0.0286149123,0.510524896,0.622693291,2.90788641e-87,6432,490,0.922588163
