transition,previous_fiscal_year,fiscal_year,previous_rows,current_rows,previous_coded_rows,current_coded_rows,previous_unique_official_codes,current_unique_official_codes,official_code_set_overlap,stable_site_overlap,linked_sites_same_official_code,linked_sites_changed_official_code,linked_sites_missing_code_either_year,official_code_overlap_pct_of_previous,stable_site_overlap_pct_of_previous
Bridge across FY2010-FY2012 official-code gap,2009,2013,1309,1199,1283,1199,1225,1199,882,1135,795,317,23,72,86.70741024
FY2019-FY2020 official-code regime reset,2019,2020,1093,1087,1093,1087,1093,1087,0,1064,0,1064,0,0,97.34675206
