specification,evidence,outcome,term,coefficient,standard_error,ci_low,ci_high,p_value,observations,stable_sites,r_squared
Lineage-equal weights,between-and-within pooled component model,log_generator_design_intensity,cohort_Before 1990,-1.743554515,0.1019882329,-1.943447779,-1.543661252,1.599198428e-65,6511,493,0.5618197689
Lineage-equal weights,between-and-within pooled component model,log_generator_design_intensity,cohort_1990-1999,-0.9675476561,0.0804358294,-1.125198985,-0.8098963274,2.507356868e-33,6511,493,0.5618197689
Lineage-equal weights,between-and-within pooled component model,log_generator_design_intensity,cohort_2000-2009,-0.3294047616,0.05006332137,-0.4275270684,-0.2312824548,4.712005091e-11,6511,493,0.5618197689
Lineage-equal weights,between-and-within pooled component model,log_generator_design_intensity,log_capacity_t_day,0.5181199642,0.05535700118,0.4096222356,0.6266176928,8.003124435e-21,6511,493,0.5618197689
Lineage-equal weights,between-and-within pooled component model,log_electrical_capacity_factor,cohort_Before 1990,0.397590276,0.04637335465,0.306700171,0.4884803809,1.002301925e-17,6511,493,0.4594905473
Lineage-equal weights,between-and-within pooled component model,log_electrical_capacity_factor,cohort_1990-1999,0.2341536808,0.03705538501,0.1615264607,0.3067809008,2.632289674e-10,6511,493,0.4594905473
Lineage-equal weights,between-and-within pooled component model,log_electrical_capacity_factor,cohort_2000-2009,0.05555195427,0.03252993467,-0.008205546103,0.1193094546,0.0876886846,6511,493,0.4594905473
Lineage-equal weights,between-and-within pooled component model,log_electrical_capacity_factor,log_capacity_t_day,-0.06400055936,0.02913095557,-0.1210961831,-0.006904935609,0.02802081402,6511,493,0.4594905473
Lineage-equal weights,between-and-within pooled component model,log_electrical_capacity_factor,capacity_utilization_raw,2.150578904,0.1404156481,1.875369291,2.425788517,5.996340269e-53,6511,493,0.4594905473
Lineage-equal weights,between-and-within pooled component model,log_gross_generation_mwh,log_throughput_t_year,0.7340589961,0.04572610476,0.6444374777,0.8236805146,5.412516965e-58,6511,493,0.9155545807
Lineage-equal weights,between-and-within pooled component model,log_gross_generation_mwh,log_power_capacity_kw,0.5583134273,0.03813866653,0.4835630145,0.6330638402,1.582896663e-48,6511,493,0.9155545807
Identity-certain lineages,between-and-within pooled component model,log_generator_design_intensity,cohort_Before 1990,-1.572294054,0.08583727438,-1.74053202,-1.404056087,6.039613614e-75,6450,487,0.5475197629
Identity-certain lineages,between-and-within pooled component model,log_generator_design_intensity,cohort_1990-1999,-0.8840617325,0.06451116488,-1.010501292,-0.7576221727,9.606697136e-43,6450,487,0.5475197629
Identity-certain lineages,between-and-within pooled component model,log_generator_design_intensity,cohort_2000-2009,-0.2695054499,0.04340018575,-0.3545682509,-0.1844426489,5.306004018e-10,6450,487,0.5475197629
Identity-certain lineages,between-and-within pooled component model,log_generator_design_intensity,log_capacity_t_day,0.5331692112,0.04376313317,0.4473950463,0.618943376,3.826149064e-34,6450,487,0.5475197629
Identity-certain lineages,between-and-within pooled component model,log_electrical_capacity_factor,cohort_Before 1990,0.3056489377,0.04244416129,0.2224599102,0.3888379651,5.968447757e-13,6450,487,0.3342264118
Identity-certain lineages,between-and-within pooled component model,log_electrical_capacity_factor,cohort_1990-1999,0.1987408567,0.03303175689,0.1339998029,0.2634819106,1.780522944e-09,6450,487,0.3342264118
Identity-certain lineages,between-and-within pooled component model,log_electrical_capacity_factor,cohort_2000-2009,0.01637689504,0.02910588676,-0.04066959475,0.07342338482,0.5736622899,6450,487,0.3342264118
Identity-certain lineages,between-and-within pooled component model,log_electrical_capacity_factor,log_capacity_t_day,-0.1165636077,0.0236734835,-0.1629627827,-0.07016443265,8.487757816e-07,6450,487,0.3342264118
Identity-certain lineages,between-and-within pooled component model,log_electrical_capacity_factor,capacity_utilization_raw,1.680265672,0.1271297429,1.431095955,1.92943539,7.006023224e-40,6450,487,0.3342264118
Identity-certain lineages,between-and-within pooled component model,log_gross_generation_mwh,log_throughput_t_year,0.6318007065,0.05248556979,0.52893088,0.734670533,2.253971543e-33,6450,487,0.9133259174
Identity-certain lineages,between-and-within pooled component model,log_gross_generation_mwh,log_power_capacity_kw,0.5792376054,0.03796340237,0.504830704,0.6536445067,1.461146555e-52,6450,487,0.9133259174
Conservative engineering bounds,between-and-within pooled component model,log_generator_design_intensity,cohort_Before 1990,-1.548608762,0.08124289442,-1.70784191,-1.389375615,5.277402135e-81,6432,490,0.5557576603
Conservative engineering bounds,between-and-within pooled component model,log_generator_design_intensity,cohort_1990-1999,-0.870664931,0.06080085556,-0.9898324182,-0.7514974439,1.64252244e-46,6432,490,0.5557576603
