fiscal_year,standardized_field,mapping_status,header_row_zero_based,header_row_excel,column_index_zero_based,column_excel,matched_keyword,matched_header_text,parser_selected_column_index_zero_based,parser_selected_column_excel,parser_selected_header_text,parser_column_adjustment
2016,power_efficiency_pct,detected_by_parser_keyword_search,3,4,24,Y,発電効率,発電効率(仕様値・公称値),24,Y,発電効率(仕様値・公称値),none
2016,power_generated_mwh,detected_by_parser_keyword_search,3,4,25,Z,総発電量,総発電量(実績値),25,Z,総発電量(実績値),none
2016,power_sold_mwh,unavailable_not_detected,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
2016,heating_value_kj_kg,detected_by_parser_keyword_search,1,2,45,AT,低位発熱量,低位発熱量,45,AT,低位発熱量,none
2016,furnace_type,detected_by_parser_keyword_search,1,2,13,N,処理方式,処理方式,13,N,処理方式,none
2016,operation_mode,detected_by_parser_keyword_search,1,2,14,O,炉型式,炉型式,14,O,炉型式,none
2016,waste_type,detected_by_parser_keyword_search,1,2,9,J,処理対象廃棄物,処理対象廃棄物,9,J,処理対象廃棄物,none
2016,facility_type,detected_by_parser_keyword_search,1,2,11,L,施設の種類,施設の種類,11,L,施設の種類,none
2016,sell_revenue_yen,unavailable_not_detected,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
2017,prefecture,detected_by_parser_keyword_search,1,2,0,A,都道府県名,都道府県名,0,A,都道府県名,none
2017,muni_code,detected_by_parser_keyword_search,1,2,1,B,地方公共団体コード,地方公共団体コード,1,B,地方公共団体コード,none
2017,facility_code,detected_by_parser_keyword_search,1,2,2,C,施設コード,施設コード,2,C,施設コード,none
2017,facility_name,detected_by_parser_keyword_search,1,2,4,E,施設名称,施設名称,4,E,施設名称,none
2017,throughput_t_year,detected_by_parser_keyword_search,1,2,5,F,年間処理量,年間処理量,5,F,年間処理量,none
2017,capacity_t_day,detected_by_parser_keyword_search,1,2,15,P,処理能力,施設全体の処理能力,15,P,施設全体の処理能力,none
2017,n_furnaces,detected_by_parser_keyword_search,1,2,16,Q,炉数,炉数,16,Q,炉数,none
2017,year_started,detected_by_parser_keyword_search,1,2,17,R,使用開始年度,使用開始年度,17,R,使用開始年度,none
2017,heat_util_status,detected_by_parser_keyword_search,1,2,18,S,余熱利用の状況,余熱利用の状況,18,S,余熱利用の状況,none
2017,power_capacity_kw,detected_by_parser_keyword_search,1,2,23,X,発電能力,発電能力,23,X,発電能力,none
2017,power_efficiency_pct,detected_by_parser_keyword_search,3,4,24,Y,発電効率,発電効率(仕様値・公称値),24,Y,発電効率(仕様値・公称値),none
2017,power_generated_mwh,detected_by_parser_keyword_search,3,4,25,Z,総発電量,総発電量(実績値),25,Z,総発電量(実績値),none
2017,power_sold_mwh,unavailable_not_detected,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
2017,heating_value_kj_kg,detected_by_parser_keyword_search,1,2,45,AT,低位発熱量,低位発熱量,45,AT,低位発熱量,none
2017,furnace_type,detected_by_parser_keyword_search,1,2,13,N,処理方式,処理方式,13,N,処理方式,none
2017,operation_mode,detected_by_parser_keyword_search,1,2,14,O,炉型式,炉型式,14,O,炉型式,none
2017,waste_type,detected_by_parser_keyword_search,1,2,9,J,処理対象廃棄物,処理対象廃棄物,9,J,処理対象廃棄物,none
2017,facility_type,detected_by_parser_keyword_search,1,2,11,L,施設の種類,施設の種類,11,L,施設の種類,none
2017,sell_revenue_yen,unavailable_not_detected,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
2018,prefecture,detected_by_parser_keyword_search,1,2,0,A,都道府県名,都道府県名,0,A,都道府県名,none
2018,muni_code,detected_by_parser_keyword_search,1,2,1,B,地方公共団体コード,地方公共団体コード,1,B,地方公共団体コード,none
2018,facility_code,detected_by_parser_keyword_search,1,2,2,C,施設コード,施設コード,2,C,施設コード,none
2018,facility_name,detected_by_parser_keyword_search,1,2,4,E,施設名称,施設名称,4,E,施設名称,none
2018,throughput_t_year,detected_by_parser_keyword_search,1,2,5,F,年間処理量,年間処理量,5,F,年間処理量,none
2018,capacity_t_day,detected_by_parser_keyword_search,1,2,15,P,処理能力,施設全体の処理能力,15,P,施設全体の処理能力,none
2018,n_furnaces,detected_by_parser_keyword_search,1,2,16,Q,炉数,炉数,16,Q,炉数,none
2018,year_started,detected_by_parser_keyword_search,1,2,17,R,使用開始年度,使用開始年度,17,R,使用開始年度,none
2018,heat_util_status,detected_by_parser_keyword_search,1,2,18,S,余熱利用の状況,余熱利用の状況,18,S,余熱利用の状況,none
2018,power_capacity_kw,detected_by_parser_keyword_search,1,2,23,X,発電能力,発電能力,23,X,発電能力,none
2018,power_efficiency_pct,detected_by_parser_keyword_search,3,4,24,Y,発電効率,発電効率(仕様値・公称値),24,Y,発電効率(仕様値・公称値),none
2018,power_generated_mwh,detected_by_parser_keyword_search,3,4,25,Z,総発電量,総発電量(実績値),25,Z,総発電量(実績値),none
2018,power_sold_mwh,detected_by_parser_keyword_search,1,2,27,AB,余剰電力,余剰電力利用(売電),27,AB,余剰電力利用(売電),none
2018,heating_value_kj_kg,detected_by_parser_keyword_search,1,2,53,BB,低位発熱量,低位発熱量,53,BB,低位発熱量,none
2018,furnace_type,detected_by_parser_keyword_search,1,2,13,N,処理方式,処理方式,13,N,処理方式,none
2018,operation_mode,detected_by_parser_keyword_search,1,2,14,O,炉型式,炉型式,14,O,炉型式,none
2018,waste_type,detected_by_parser_keyword_search,1,2,9,J,処理対象廃棄物,処理対象廃棄物,9,J,処理対象廃棄物,none
2018,facility_type,detected_by_parser_keyword_search,1,2,11,L,施設の種類,施設の種類,11,L,施設の種類,none
2018,sell_revenue_yen,detected_by_parser_keyword_search,3,4,28,AC,売電収入,売電収入,28,AC,売電収入,none
2019,prefecture,detected_by_parser_keyword_search,1,2,0,A,都道府県名,都道府県名,0,A,都道府県名,none
2019,muni_code,detected_by_parser_keyword_search,1,2,1,B,地方公共団体コード,地方公共団体コード,1,B,地方公共団体コード,none
2019,facility_code,detected_by_parser_keyword_search,1,2,2,C,施設コード,施設コード,2,C,施設コード,none
2019,facility_name,detected_by_parser_keyword_search,1,2,4,E,施設名称,施設名称,4,E,施設名称,none
2019,throughput_t_year,detected_by_parser_keyword_search,1,2,5,F,年間処理量,年間処理量,5,F,年間処理量,none
2019,capacity_t_day,detected_by_parser_keyword_search,1,2,15,P,処理能力,施設全体の処理能力,15,P,施設全体の処理能力,none
2019,n_furnaces,detected_by_parser_keyword_search,1,2,16,Q,炉数,炉数,16,Q,炉数,none
2019,year_started,detected_by_parser_keyword_search,1,2,17,R,使用開始年度,使用開始年度,17,R,使用開始年度,none
2019,heat_util_status,detected_by_parser_keyword_search,1,2,18,S,余熱利用の状況,余熱利用の状況,18,S,余熱利用の状況,none
2019,power_capacity_kw,detected_by_parser_keyword_search,1,2,23,X,発電能力,発電能力,23,X,発電能力,none
2019,power_efficiency_pct,detected_by_parser_keyword_search,3,4,24,Y,発電効率,発電効率(仕様値・公称値),24,Y,発電効率(仕様値・公称値),none
2019,power_generated_mwh,detected_by_parser_keyword_search,3,4,25,Z,総発電量,総発電量(実績値),25,Z,総発電量(実績値),none
2019,power_sold_mwh,detected_by_parser_keyword_search,1,2,27,AB,余剰電力,余剰電力利用(売電),27,AB,余剰電力利用(売電),none
2019,heating_value_kj_kg,detected_by_parser_keyword_search,1,2,53,BB,低位発熱量,低位発熱量,53,BB,低位発熱量,none
2019,furnace_type,detected_by_parser_keyword_search,1,2,13,N,処理方式,処理方式,13,N,処理方式,none
2019,operation_mode,detected_by_parser_keyword_search,1,2,14,O,炉型式,炉型式,14,O,炉型式,none
2019,waste_type,detected_by_parser_keyword_search,1,2,9,J,処理対象廃棄物,処理対象廃棄物,9,J,処理対象廃棄物,none
2019,facility_type,detected_by_parser_keyword_search,1,2,11,L,施設の種類,施設の種類,11,L,施設の種類,none
2019,sell_revenue_yen,detected_by_parser_keyword_search,3,4,28,AC,売電収入,売電収入,28,AC,売電収入,none
2020,prefecture,detected_by_parser_keyword_search,1,2,0,A,都道府県名,都道府県名,0,A,都道府県名,none
2020,muni_code,detected_by_parser_keyword_search,1,2,1,B,地方公共団体コード,地方公共団体コード,1,B,地方公共団体コード,none
2020,facility_code,detected_by_parser_keyword_search,1,2,2,C,施設コード,施設コード,2,C,施設コード,none
2020,facility_name,detected_by_parser_keyword_search,1,2,4,E,施設名称,施設名称,4,E,施設名称,none
2020,throughput_t_year,detected_by_parser_keyword_search,1,2,5,F,年間処理量,年間処理量,5,F,年間処理量,none
2020,capacity_t_day,detected_by_parser_keyword_search,1,2,16,Q,処理能力,施設全体の処理能力,16,Q,施設全体の処理能力,none
2020,n_furnaces,detected_by_parser_keyword_search,1,2,17,R,炉数,炉数,17,R,炉数,none
2020,year_started,detected_by_parser_keyword_search,1,2,18,S,使用開始年度,使用開始年度,18,S,使用開始年度,none
2020,heat_util_status,detected_by_parser_keyword_search,1,2,19,T,余熱利用の状況,余熱利用の状況,19,T,余熱利用の状況,none
2020,power_capacity_kw,detected_by_parser_keyword_search,1,2,24,Y,発電能力,発電能力,24,Y,発電能力,none
2020,power_efficiency_pct,detected_by_parser_keyword_search,3,4,25,Z,発電効率,発電効率(仕様値・公称値),25,Z,発電効率(仕様値・公称値),none
2020,power_generated_mwh,detected_by_parser_keyword_search,3,4,26,AA,総発電量,総発電量(実績値),26,AA,総発電量(実績値),none
2020,power_sold_mwh,detected_by_parser_keyword_search,1,2,28,AC,余剰電力,余剰電力利用(売電),28,AC,余剰電力利用(売電),none
2020,heating_value_kj_kg,detected_by_parser_keyword_search,1,2,66,BO,低位発熱量,低位発熱量,66,BO,低位発熱量,none
2020,furnace_type,detected_by_parser_keyword_search,1,2,13,N,処理方式,処理方式,13,N,処理方式,none
2020,operation_mode,detected_by_parser_keyword_search,1,2,14,O,炉型式,炉型式,14,O,炉型式,none
